onset	duration	recall_transcript
7.1	8.0	Ok, so I guess I’ll start by saying that there were two lobby clips, just because I know you record those, and I did remember them.
14.1	7.0	So it says, “Let’s all go to the lobby and get some snacks,” and it’s all pink, and there's boxes that are dancing, and so on.
20.1	4.0	Ok, so the last clip was the bus stop.
24.1	6.0	It begins with a guy standing at the bus stop, wearing white headphones and a red t-shirt.
29.1	10.0	And he has a bag with strawberry ice cream that’s slowly melting, because it’s really hot, and he has sweat stains on his shirt.
38.1	4.0	Then this car drives in, it’s an SUV.
41.1	5.0	And a woman pulls up to the curb, and she gets out, leaves her car door open.
46.1	7.0	And then she walks to the phone booth and makes a call.
52.1	6.0	And I’m pretty sure her car starts to slowly slide down the street while she’s doing that.
57.1	3.0	In any case, she starts to walk towards the guy.
60.1	3.0	She needs to use his phone.
62.1	6.0	I guess she couldn’t get through on the payphone or something, or she didn’t have money.
67.1	8.0	But she walks towards the guy and she asks him if she could use his phone and not to worry, that she's not going to steal it.
75.1	3.0	So he gives her the phone.
77.1	3.0	She gets on the phone, she makes a call.
80.1	6.0	Then she starts saying like, “Where is she? I’m gonna call the police. Where are you?”
87.1	5.0	And then she’s like obviously kind of frantic and upset.
91.1	3.0	Then she throws the phone down on the ground.
95.1	8.0	The guy in the red t-shirt goes and picks it up and says, “Hey, this is a $60 phone, lady. Are you gonna pay me back for it?”
103.1	4.0	And then further down the road this car pulls up.
107.1	9.0	And this guy comes out who’s wearing like part of a tux but without the jacket, so just the black pants and like suspenders and a white shirt.
116.1	5.0	The lady goes to him, and the guy with the red shirt is kinda walking behind her.
120.1	5.0	And the lady is saying, “ Where is she? Where is she?”
125.1	6.0	And the guy who came out of the car is like, “Who’s this other guy?”
131.1	4.0	And the lady says, “Just a friend,” and the guy’s like, “What?
135.1	3.0	She's not my friend, she just borrowed my phone.
137.1	3.0	I wanted to see if I could get some money for it.”
139.1	7.0	Anyways, the, the guy who came out of the car and the woman start having this exchange.
145.1	6.0	And the guy who came out of the car says to the red-shirted guy, “Do you know who I am?”
150.1	9.0	And then he pauses for a second, and he's like, “Oh, you're the Great Aldino, and you're his assistant, like you guys are on TV.”
159.1	14.0	And then the, the woman kinda goes nuts and she pulls out a gun, and then the magician guy says, “Oh, well I have one too, like is yours loaded?” that kind of thing.
173.1	5.0	And then eventually the woman goes to the car.
177.1	5.0	She opens the trunk to, or she tries to open the trunk to look inside.
181.1	11.0	And the man with the red shirt now is with the magician, and the magician tells him to pay attention, and he pulls out this thing to hypnotize him.
191.1	5.0	It’s this box with like a cross on it with some type of bone thing inside.
197.1	5.0	And so he starts chanting to hypnotize the guy in the red shirt.
201.1	7.0	And meanwhile the woman has managed to open the trunk and sees something inside.
207.1	7.0	And the magician has hypnotized the guy who drops his bag with the ice cream in it which is all melted.
214.1	8.0	It goes all over the ground, and the guy drops on the ground and starts like pawing and twitching as if he’s a dog that’s asleep.
221.1	10.0	And the woman comes around from the car, and the magician is like, “Oh, crap,” because he probably said the wrong words when he was trying to hypnotize the guy.
230.1	4.0	And so he's like reading over what he should have said.
234.1	5.0	And the woman shoots him, and he shoots the woman, and they both fall to the ground.
238.1	10.0	And now the guy with the red shirt is acting like a dog, and licking the ice cream on the ground and starts barking and like sniffing around.
247.1	7.0	And then as he’s barking he starts hearing somebody else bark in return, or like some, somebody, some dog.
253.1	8.0	Anyways he starts crawling, and then this girl comes, also a dog now, obviously hypnotized by the magician.
260.1	4.0	And they start sniffing each other, as dogs do.
263.1	7.0	And then they go off down the street. Ok.
270.1	4.0	The clip before that was Post-It Love.
273.1	9.0	It starts with these two people who are making photocopies side-by-side in an office building.
