onset	duration	recall_transcript
6.9	N/A	Okay so one of the movies was called the Shoe.
10.9	N/A	The shoe started with a sneaker um that I think was Velcro, blue, uhh lying in the gutter and it was lying sideways.
21.9	N/A	It turned right side up and started tapping.
25.9	N/A	And there was a little subtitle before this that said how they get there.
29.9	N/A	Um and this guy is walking down the street and he looks at a girl across the street from him and he notices that she’s mimicking him.
39.9	N/A	He like reaches up and touches something, and she does the same and then uh, or it first, first he trips, and she trips, mimicking him, and then reaches up and touches something and she does the same.
52.9	N/A	Then they start doing all these, like bending down gestures with their hands um being silly, copying each other.
61.9	N/A	And then she sees that he’s gonna walk into the street continuing to mimic her.
68.9	N/A	And she starts to warn him with her hands, not saying anything, just like making scary hand gestures.
77.9	N/A	And he just keeps mimicking them, and then walks right in front of this car, which is like an old brown sedan.
87.9	N/A	And he smashes the windshield and um it gets launched into the air and lands really far away after like a long slow motion shot of the car in the air.
101.9	N/A	And then he uh, the guy gets launched and his shoe flies into the air, this is the guy who was being mimicked.
112.9	N/A	And then his shoe lands in the gutter and the shoe like is in the position that the shoe was in in the beginning of the movie.
120.9	N/A	And the camera pans and you see an older black shoe also in the gutter.
125.9	N/A	So now you know how shoes get in the gutter.
128.9	N/A	Um there was one called the Record where this cartoon girl who looks like a broomstick with orange hair uh gets a record in the mail and she puts the record on and notices that her pizza is disappearing.
145.9	N/A	And then she stops the record and rewinds it, and the pizza comes back and she plays with that.
151.9	N/A	Um and then she like speeds it up and skips to a different part of the record entirely and then finds that she’s in completely new surroundings in a, um.
166.9	N/A	Before she was like in a dorm, um, on like a futon kind of thing, and now she’s in a pretty nice house with this like fancy yellow chair next to her and she’s well-dressed and she’s pregnant.
178.9	N/A	And she moves the record back and forth and sees the size of her belly changing and then gets to having a baby.
185.9	N/A	And then she looks a little miffed because she doesn’t really want to deal with a baby.
189.9	N/A	Um she goes back in time and she’s holding a doll; she’s a kid.
194.9	N/A	And then, she like can’t really reach the record anymore, um so she like tries to reach up and she bumps it and it takes her forward way into the future, and now she’s in a wheelchair.
212.9	N/A	She has like a broken leg and uh she keeps trying to move the record, but it keeps skipping um.
221.9	N/A	Finally, she moves the record, like the reason she’s having trouble is because she’s in the wheelchair and she can’t get close enough.
227.9	N/A	It keeps skipping.
228.9	N/A	Eventually she moves it and then she’s like even older in that house and she has a walker.
236.9	N/A	And then um she, let’s see, she moves it.
242.9	N/A	I can’t remember if she moves it even further forward, but then it skips again.
249.9	N/A	Oh she falls over the walker and then the needle jumps and then she’s um in an urn. She’s dead.
259.9	N/A	Um there was a Catch me if you can clip that started off with a show, game show called To tell the truth, with big like a golden title card opens up and um three guys come out and they all say that their name is Frank William Abignail Junior.
285.9	N/A	Uhh there’s like a brown haired dude, a short brown-haired dude, then Leonardo di Caprio having like floppy hair, and then a taller guy.
