onset	duration	recall_transcript
9.5	20.0	The first movie was Catch Me If You Can, and it started out where Frank Abagnale Jr. was on the TV show To Tell The Truth with two other people, and the point of the show was to find out who was the real Frank, 
33.5	8.0	"and a woman on the panel asked him, who was the person that caught him, and he said, ""Carl Hanratty."""
40.5	25.0	And then it changed to a scene where Carl was talking to the French police, because he was there from the FBI to get Frank for his extradition, and when he was taken into the room to see Frank, to read him his rights, Frank was really sick.
64.5	11.0	He might’ve been pretending to be sicker than he was, and so Carl told the French police to get a doctor, 
76.5	19.0	and they took, the police and Carl took Frank into a hospital room, but the French police said there wasn’t going to be a doctor until the next day if Carl wanted to take Frank back to America the next day.
94.5	21.0	And while Carl and the police were arguing, Frank escaped through the door, but since he was sick, he was only able to crawl on the floor, and all the other prisoners were cheering, but eventually the French police and Carl caught up to him, and he surrendered.
114.5	11.0	The second movie was a woman who had a pizza, 
124.5	16.0	and she had brought a new record called A Single Life in, and she put the record on the turntable, but it was skipping, and every time it skipped, the pizza was already eaten, 
139.5	8.0	so then she realized that she could use the record to change time, and she jumped forward.
146.5	2.0	She was married.
148.5	17.0	Then she was pregnant, and then she was turning it, and then she turned it forward more, and she had the baby, but that baby was crying, so she jumped back, but then she was a little kid, so she wanted to jump forward again.
164.5	15.0	She jumped forward, and she was an old woman with a broken leg in a wheelchair, and she wanted to change it, but every time she wanted to wheel forward in her wheelchair, the record would skip and send her back, 
179.5	8.0	so then she fell over on her back, and the record skipped forward, and she was really old, and she had a walker.
186.5	11.0	Then she realized the record was about to end, so she tried to rush forward to stop it, but then she was dead, and she was ashes in a vase.
197.5	4.0	The third movie.
214.5	10.0	The fifth movie was about Keith Reynolds, 
224.5	18.0	and Keith was a little blue guy with a purple hat, and he pulled up in his blue car to his office building where he worked, and he expected to get a promotion, which he was really excited about, because he wanted to impress this woman.
243.5	19.0	I can't remember her name, but she was pink, and every day Keith made a coffee for the pink woman, but she didn't really like him, so she threw it out the window, and it fell onto this orange guy, who was a window cleaner, who had a ladder, and then he fell, 
262.5	6.0	and then the, a different guy downstairs saw the guy fall.
267.5	4.0	The guy in HR saw the guy fall.
272.5	12.0	Then later at the same time, a different guy, maybe his name was Carl, 
284.5	9.0	no, a different guy,  well a different guy was getting the promotion that Keith wanted to get, or that Keith thought he was gonna get,
292.5	18.0	so the other guy went downstairs to tell the pink girl about it, and they started kissing, and while Keith was upstairs finding out that he didn't get the promotion, so he was sad.
309.5	11.0	And then when he saw, and then he went downstairs to make another coffee for the pink woman, he saw her kissing the guy who got his promotion.
319.5	18.0	Then when the guy who got it got on the elevator, Keith told him to go screw himself, and then the guy punched him in the face, so then Keith beat him up, and then he accidentally killed him.
336.5	8.0	Then Keith was going to take the body to the stairs, 
