onset	duration	recall_transcript
9.6	12.0	Okay, um so the guy is talking on his cellphone, which is like this L-shaped piece of paper, L-shaped piece of plastic, and the operator is asking, what's your number?
21.6	4.0	And he starts talking and the woman keeps going on like no, what's your number?
25.6	11.0	So eventually he says, I don't have a number and the operator says if you don't have a number, then you can't make a call and so um shuts it off and stops so there's a dial tone.
35.6	10.0	So he puts the phone down and then he wanders off and he finds this like display board, um with a bunch of buttons.
44.6	4.0	And he's looking at it and eventually pushes this button, 
47.6	17.0	and all of a sudden right behind him, there's this woman, an Asian woman, with like really heavy eyeliner, um, driving a car, and she says, uh local taxi service, and then she said something in French and then he gets in.
64.6	8.0	And he's like can you take me to the nearest uh town or something?
72.6	3.0	And she says, local service only.
74.6	3.0	And so he says just take me as far as you can go.
78.6	11.0	And then they're driving along a sort of awkwardly quaint and perfect town, and he says to her, why did you speak to me in French?
89.6	3.0	And she says well I thought you might be French.
91.6	3.0	Well actually I thought you might be Polish or Czech.
94.6	4.0	And he says why would you think I'm Polish or Czech?
98.6	6.0	And he's like driving along, and she says well it's a very cosmopolitan town, you never know what sorts you will find.
104.6	9.0	And so eventually they don't go very far and they stop, and he gets down, she looks at him and she's like, she's like, I did tell you, this is a local service.
113.6	5.0	And he's on the sidewalk and she says that'll be 2 units and he's like, 2 what?
117.6	2.0	Two units.
119.6	6.0	And it's obvious he doesn't have any money so she says well, just pay me next time, and drives off.
125.6	14.0	Um so then he sees a store, a general store, and so he goes into it, and there's this shopkeeper, and a customer, and they're talking very loudly in a foreign language.
138.6	9.0	And then they suddenly switch to English, and the man approaches the shopkeeper, and he's like, can I have a map of the local area?
147.6	5.0	And the shopkeeper asks if he wants a small one, black and white, or color.
151.6	3.0	And the man says I don't care.
153.6	3.0	And so the guy goes and finds a map, and gives it to him.
156.6	5.0	And it's a map of the local area and it doesn't have any details at all.
160.6	7.0	Like there's like a town square, and it flashes all around, the camera flashes all around it, and like it says, mountains.
167.6	3.0	And so it says mountains mountains mountains all the way around.
170.6	3.0	And he's like, uh, can I have a bigger map?
