onset	duration	recall_transcript
1.7	21.0	The first movie that I remember is um the Aviator movie and the beginning there was a game show with three men who claimed they their name is Jack, I forget the name of the character, but three con men.
23.7	16.0	They, uh, before the age of 19, they were some government official for Georgia, an aviator for a plane, and something to do with a hospital.
42.7	17.0	And then it goes to a guy named Carl who works with the FBI and he goes to the center, which the guy...maybe Jack...is being held and he tries to talk to Jack through a little tiny hole in the wall that is open.
59.7	4.0	I think he has some sort of history with Jack, I'm not sure if he was trying to find out information or what.
63.7	6.0	Jack is being held in a really severe punishment system, 
69.7	18.0	so Jack pretends to faint, or pretends to get really, really sick and Carl's trying to talk to him and Carl screams for an ambulance or for a doctor so that the other guys come and they bring him to the hospital, 
86.7	18.0	but then, yeah, all the men put him on the bed and they start washing their hands and Carl said `what are you doing' and the guy said that the doctor is coming the next day and they see that the door to the hospital room just closed, 
103.7	17.0	so they follow the route and they see that Jack, or whoever the man's name is has left the room, he's not in his bed anymore, and they run after him and they find him crawling on the floor of the prison, 
120.7	19.0	a bunch of angry and enthusiastic prison men are screaming batting their cages while he's crawling around the floor and then the FBI men walk fastly towards him and one of them puts a gun to Jack's head, 
138.7	9.0	and Jack goes on the ground and kind of puts his hands and arms out, kind of like he surrenders.
148.7	15.0	"I remember when he's leaving the hospital room, Carl said ""Oh Jack"" kinda like he knows that it's very much like Jack who's the con man, he's able to get himself out of a lot of situations by acting a certain way."
164.7	10.0	The next movie was the movie about, it was a cartoon movie, I think it was called the Record, and it was a very cute movie.
173.7	14.0	It was a girl, and when she was a young adult, she had red hair, orange hair, and she started eating a pizza and she put a record on and the record of a girl's voice,
186.7	21.0	and when she was moving the place in the record in the song, whatever that part of the record player is called, she noticed that the pizza is disappearing, and depending on where the record was in its cycle, the pizza was appearing and disappearing.
207.7	7.0	And then scene goes to the box of pizza, the entire pizza is disappearing and reappearing.
215.7	19.0	Then she jumps on the record to different points and the next point that she jumps to is to the time in her life where she's already married because there's a picture frame in the wall of her in a wedding veil and she's pregnant.
233.7	12.0	She looks down at stomach and she's playing around with the record to see her stomach grow and shrink and then she skips to when she was a baby herself and she has a doll in her hand and a playpen there, 
245.7	18.0	and then she skips to when she's an older woman, and she keeps getting, there's this weird electric field that keeps happening in the record, and in her chair she keeps getting thrown away, like she can't reach the record to switch her position again.
262.7	10.0	Then she switches, when she does get to switch her position again she switches to this even older woman using a walker.
272.7	5.0	And that's all I remember of that one.
278.7	2.0	These are definitely gonna be out of order.
280.7	2.0	There was the shoe.
282.7	5.0	It was really cute, it was a man and a woman.
287.7	16.0	The man is leaning against some other guy's car, it's not his own car, and in the beginning of the scene it shows a rapper near his feet maybe he just needs something and then he goes up and he's drinking milk, he's looking inside the milk carton.
302.7	8.0	And then he sees a girl, catches his attention, that's when some Italian looking man comes over and yells at him about leaning on his car.
310.7	8.0	So then the guy starts walking away, but he's still looking at this girl, and then the girl's being cute and starts imitating what the guy's doing.
318.7	13.0	So they start, she starts copying moves that he's doing and he goes to put the milk carton on top of the fence and she also raises her hand in the same motion, and then he trips and she trips, 
330.7	10.0	this happened before the milk carton thing, and then she does this little dance and he does this little dance, they go back and forth for a while but then they get to the end of the sidewalk, 
339.7	12.0	and she realizes that it's the end of the sidewalk and a car is coming on his end, and he doesn't realize it and he continues to walk into the street, trying to entertain her.
350.7	11.0	He gets hit by the car, the car flies dramatically, it lands somewhere, and then it goes back to the girl, super surprised and doesn't know how to react, 
361.7	9.0	and then it goes down to the shoe, that came out of I guess from the guy who got hit by the car whose shoe also came flying towards her.
370.7	10.0	Then it shows another shoe, it's a black shoe, and maybe that was saying that the same thing has happened to her before or to other people before. I don't really know the significance, but...
382.7	3.0	Um.. let's see.
