onset	duration	recall_transcript
8.1	5.0	"Okay, so the first movie was called: ""Catch Me If You Can."""
13.1	19.0	And there were three imposters that were coming into the talk show and they were asking them questions concerning um what they did, because they were conman artists, and his name was, all of the three were named like William Frank something.
32.1	7.0	And for the first one they asked him: oh why did he choose to do that even though he was talented?
38.1	7.0	And he told them basically that that was the easiest way for him to make the money that he wanted to.
45.1	7.0	And for the second person - who was Leonardo DiCaprio - they asked him: who caught him?
52.1	11.0	And he said, um, Carl, har- some weird last name like carrot, v, and then it flashed back to the situation he was in the jail.
63.1	13.0	Um and I guess in another land, so it was not in the US, and the FBI agent Carl, he came to um, try to bring him back to the US, to US land, and he tried.
76.1	16.0	He was really sick so the Carl guy told the officers there to take him to the doctor's office but while they were at the doctor's office the officers didn't want to bring him a nurse.
92.1	14.0	While they were talking and washing their hands um the William Frank guy - the conman artist - he tried to escape but he was really sick so they caught him and that's when that one ended.
106.1	5.0	"Um and then I think the next one was called ""A Single Life."""
111.1	10.0	So it's like a cartoon and then the girl was trying to eat a pizza slice but then she hears the doorbell.
120.1	5.0	"And then she gets this record, or maybe it was called ""The Record."""
125.1	7.0	She gets the record and then she plays it but then she realizes that her pizza's gone.
131.1	10.0	And then she realizes that the record actually forwards or rewinds her life, so she plays around with it.
140.1	15.0	And ends up being like an adult, pregnant, and then she goes back and is not pregnant, goes back and is pregnant, and then she forwards and has the kid in her hands - the baby in her hands.
155.1	9.0	And then um she goes backwards accidentally as a little kid and then she goes forward and is like, old.
164.1	9.0	Um but then she's like old and is on a kind of wheelchair and has like a cast on her leg.
172.1	9.0	So she can't really touch the record so that she can go backward.
180.1	4.0	So she keeps going back and forth and gets upset.
184.1	12.0	And then she um, and so, forwarding to being like, old, I guess, in a home, and then basically, then I think she tries to go back but she cannot.
196.1	10.0	And so it just forwards and it just shows her that she died and shows her in the, just her like remains.
206.1	8.0	And then the, I think the next one - the next movie - was the one, something about robots.
214.1	3.0	But I forgot the name of the movie.
216.1	9.0	But basically it's like a husband and wife together and just like their anniversary.
224.1	9.0	But they don't look very happy, and they're just eating and the wife offers him some wine but he doesn't want to.
233.1	5.0	"And she gets upset because she says, ""oh, but you're just a computer analyst."""
238.1	5.0	And uh, she ends up drinking like most of the wine.
243.1	9.0	"And then she gets really upset, but before she gets upset, she's, he kind of says, ""oh, the asparagus is tender."""
251.1	7.0	"And she tells him, ""oh it's - most people say it's an aphrodisiac."""
