onset	duration	recall_transcript
7.9	5.0	Ok so, when we last left off I was talking about The Prisoner.
12.9	13.0	And we were at the point where the guy was picked up in this taxi, and this lady was talking to him about Poles and some other nationality of people that maybe frequent the town or something,
24.9	12.0	and she's like describing stuff and clearly, he's like not fully paying attention, and the camera keeps panning to her like it’s first person perspective of like the golf cart driving or something.
37.9	6.0	And so you're getting to see the scenery and the town, and some people are walking around and everything.
42.9	7.0	Anyway, so eventually, she's just talking to him, and eventually, he's not really saying much.
50.9	4.0	They get to like as far as she's willing to go.
54.9	4.0	And he gets out, and she's like, “That’ll be two credits.”
57.9	5.0	He's like, “Credits?” like obviously doesn’t know what that is.
61.9	8.0	And she's like, “Yeah whatever, I’ll, don’t worry about, you know, you'll pay next time,” and then she pulls away.
69.9	8.0	And then he like walks up this storefront and reads the, there's like some sort of welcome sign or something, and then he walks in.
77.9	8.0	And very, very subtly as he walks in, or maybe not so subtle, but the shopkeeper is talking to somebody else in another language.
84.9	7.0	I don’t know, might’ve been German or something, or I sort of missed it, but it’s definitely not English.
90.9	5.0	But as soon as the guy walks in, they stop talking in the other language and start talking in English.
96.9	13.0	Okay, and then, the guy walks over to another part of the counter, the main guy, and the shopkeeper walks around, and the other guy, the other customer leaves.
109.9	6.0	And the shopkeeper’s like, “How can I help you?” and the guy’s like, “Can you get me a map?” and the guy’s like, “Do you want color or black and white?”
114.9	3.0	And the guy’s like, “I don’t care. Whatever.”
116.9	8.0	And the guy pulls out a black and white map and gives it to the guy and the guy looks at the map, and it’s like very small map.
123.9	4.0	It’s not that big of a map, and it doesn’t cover a wide area.
126.9	3.0	Basically it shows the village.
131.9	3.0	I think it was called Your Village or something.
135.9	6.0	And then there are these mountains surrounding it, and maybe there's a coastline at one point also.
140.9	8.0	Anyway, the guy looks at it, and he's like, “No, I mean a much bigger map,” and he's like, “Alright, well all I have is in color then,” and the guy’s like, “Whatever, fine. Give me a map.”
148.9	3.0	So he gives him the color map.
151.9	5.0	It’s basically the same area of coverage, but just a much physically larger map.
155.9	6.0	And the guy looks at it, and again the camera pans to like the mountains and the village itself on the map.
161.9	9.0	And then the guy’s like, “No, I meant like a much larger area,” and the guy’s like, “Oh, sorry, all we have are the local maps, like nobody really cares about anything beyond that.”
173.9	10.0	And then I think the guy’s like, “Whatever, that’s, you know, whatever,” and starts walking out, and a new customer walks in, and the shopkeeper’s like, “alright, well see you again.”
183.9	6.0	And then the guy walks out, and that’s the end of that short.
190.9	7.0	Alright, so then there's totally at least one or two other ones.
196.9	7.0	And let me take like a second to try to remember what the last one was, I can’t believe I'm blanking on it now.
