onset	duration	recall_transcript
8.5	11.0	Ok so the first short film was the beginning to the movie Catch Me If You Can.
18.5	3.0	I’ve actually seen this movie a couple of times.
21.5	8.0	So it starts out with this game show in the 70s, something called like To Tell the Truth.
28.5	10.0	And so there are these 3 guys dressed in airline outfits that walk out onto stage and stop at these little T-marks.
39.5	11.0	And one of them is the true person, 2 are impostors, and the point of the game show is for contestants to figure out who’s the right person.
50.5	15.0	And so they walk out onto the stage, and the announcer says something like, or they all introduce themselves as like “I am Frank Abagnale,” and I forget his middle initial or middle name.
65.5	14.0	And then maybe it was the announcer or maybe it was each of them describe one thing they did, and it was like, they were an airline pilot for several years.
78.5	6.0	They were some physician doctor at a Georgia hospital.
83.5	6.0	And then I forget if it was like Louisiana, some sort of lawyer I think.
89.5	5.0	Anyway, and then they walk over to their little podium stand things.
96.5	5.0	And there are these like cool little designs in the back, little figure things.
100.5	14.0	Anyway, the contestants ask, one of the contestants asks the first person why’d they do it, and the person is like, “It was truly a dollars and cents thing. I needed the money” basically.
113.5	14.0	And then the contestant asked the second person, who is Leonardo Dicaprio, who is the true Frank.
127.5	2.0	Who chased him?
128.5	3.0	And that’s when he says, “Carl.”
131.5	18.0	And then it cuts to France, Marseilles, France, and it’s Tom Hanks’ character, Carl Hanratty, talking to the French police, trying to explain his name, and it’s raining and pouring, and he has an umbrella, and everyone’s soaking wet.
149.5	8.0	And it’s like the French police don’t seem to really understand what, what Carl Hanratty is saying.
156.5	8.0	Anyway, so after that, it’s Marseilles, France, 1969, he walk.
163.5	9.0	He’s in this like jail, and Frank is in the jail in one of the cells, like maximum seclusion.
171.5	18.0	And one of the officers takes Carl to the front of the, Frank’s cell, and says, “Sit here on the stool,” and he opens this little trap door thing, and he's like, “Don’t pass anything through there.”
190.5	7.0	And Carl sits down, and he starts reading, what’s the word?
196.5	17.0	Like extradition stuff to Frank, because he’s gonna take him back to the U.S., because, well you don’t know this at that part, but later on in the movie you find out that he’s arrested by the police for printing money.
212.5	9.0	Anyway, I won’t get into that, but anyway he's going, getting, you know that he's getting extradited back to the U.S.
220.5	7.0	And while Carl is reading the extradition laws, Frank is coughing.
226.5	6.0	Eventually he falls over, and while he’s coughing, Carl’s like, “You're not fooling me.”
231.5	9.0	But then Frank eventually tips over, and Carl tosses away his stool and yells at the French policeman to like open the gate.
239.5	3.0	“This guy’s sick. Get him a doctor.”
242.5	10.0	And it cuts to like the police officers dumping Frank on a cot in like a sort of medical ward part of the prison.
251.5	10.0	And then they start rinsing their hands, and Carl’s like, “What are you doing?” and all the officers are like, “We’re getting rid of the lice.”
261.5	7.0	And Carl’s like, “He needs to see a doctor,” and they're like, “Well the doctor can see him in the morning.”
267.5	5.0	I forget if they say in the morning or, you know, after the weekend or something.
272.5	6.0	So they begin to argue a little bit, but then the camera pans over to an open door.
278.5	3.0	And so like Frank has slipped through the door.
280.5	12.0	The next scene is Frank running down the hallway of a prison, but he's like kind of limping and falling all over the place, so he's trying to escape, he wasn’t faking that, he really was sick.
292.5	4.0	Anyway, the police officers and Carl walk up to him.
295.5	23.0	And the head guy, the French police, holds like a pistol to the top of Frank’s head, and Frank just stops there, and like falls, like kind of leans down and lies on his back, back spread over, and he’s like, “Okay, Carl, you can take me home.”
317.5	3.0	And so that’s the end of that.
320.5	8.0	Okay so the next movie, or short film I remember, I think it was called like The Record.
327.5	10.0	It’s like sort of Claymation, and it’s this young lady, who is about to eat some pizza, and she gets a knock on her door.
336.5	5.0	And she opens the door, and all that’s there is this manila envelope.
341.5	4.0	And in the manila envelope, she opens it, and there's a record.
345.5	6.0	So she, it’s a small, it’s like a 7-inch, so she puts the record on.
350.5	5.0	She has a record player conveniently next to her pizza, and she starts playing it.
354.5	9.0	And she's about to like take a bite of the pizza, and the pizza like has disappeared, like halfway disappeared.
363.5	14.0	And she notices this, and she like looks at the record, and then she like reruns, she like sort of like rotates the, you know, the record around to like sort of rewind it.
376.5	8.0	And the pizza comes back, and then she like fast forwards, and the pizza goes away, and she does that back and forth a couple times.
385.5	21.0	And now I'm forgetting the lyrics of the song, but it’s something like, “Don’t rush” or “Take your time,” which is obviously directly related to what the record is doing, fast-forwarding and rewinding time relative to like where in the song the needle is.
405.5	7.0	So then she like skips ahead, and it’s to the point where you like see a picture frame, she's married.
411.5	8.0	And then it like pans down, and she's pregnant, and she like fast forwards and rewinds, and her stomach like grows and shrinks.
418.5	5.0	And then she, you know, skips ahead a little bit, and the baby pops like into her arms.
425.5	5.0	And she seems like pretty pleased at that point, and like this is pretty cool.
429.5	5.0	And then she like, I think that’s when she rewinds, and she's like back to a little kid.
434.5	11.0	And like every time it sort of jumps in time, the record player is there, and like she had the baby when she was older, but now as a kid, she has like a little doll in her hand.
445.5	9.0	And so then she has to, but she's like really short, so she like goes on her tippy toes to like reach and like move the record needle.
453.5	4.0	And then she skips ahead a lot, and she’s older.
