onset	duration	recall_transcript
2.8	5.0	Okay, I'm going to start with, 
9.8	3.0	okay I'm going to start with The Record.
12.8	10.0	This is, this was an animated film starring like a twenty-year old, twenties-year old woman.
21.8	10.0	She received a record in the mail that was called, uh, ooh, a simple, A single life?
31.8	15.0	And then when she puts it on, she's just sitting there eating pizza; she puts it on and then she realizes as it's going that the pizza starts going away, before she can even, before she even bites any of it.
45.8	14.0	And then she sort of backtracks in the record and realizes that the record is sort of ticking away along with her life, and so it's kind of like going forward in time with the pizza being eaten.
58.8	7.0	And so she zooms forward a little bit and then realizes the whole pizza's gone.
64.8	20.0	And then she starts experimenting and she starts like, she ticks further forward in time and she notices that she's pregnant, and then starts playing around with the record again and it like sort of moves her stomach in and out to go along with the baby's growth.
83.8	7.0	And then she jumps forward a little bit further, and then to a baby pops out.
90.8	8.0	And then she starts skipping even further in time so I think she next goes into her childhood, she skips back on the record, 
98.8	18.0	and then from there she actually skips towards the end of her life, towards the very, one of the last moments and she realizes that she, she tries to get to the record from her chair, 
116.8	17.0	and she realizes she can't, but she tries a few times but keeps skipping back, but she manages to get it close enough to skip it forward once again, and then she goes, it looks like she's in a nursing home,
133.8	11.0	and then she tries to get to the record to like kind of skip it backwards because she realizes she's about to die, and then she doesn't get there in time, and that's how that one ends.
145.8	7.0	I'll go to the next one, um, Keith Reynolds?
152.8	5.0	So Keith Reynolds is this like, is this like businessman-type guy.
156.8	10.0	"It starts with the words, I think ""Keith Reynolds can't come home tonight,"" something like that and it's basically just describing a day for Keith Reynolds."
165.8	12.0	He walks into the office, and then describes how he's been in love with this girl on the fourth floor, and he's expecting, oh, just to backtrack a little; 
176.8	13.0	it's I think like the beginning of his eighth year here, so he's been the longest tenured junior member of the business, um so he's really expecting a promotion.
188.8	13.0	So when he goes up to the fourth floor and sees this girl that he's in love with, he is sort of musing of how if he gets a promotion, he may get the girl to fall in love with him.
201.8	12.0	And he pours her a coffee from the free coffee machine and he gives it to her and it says that she always really, it says that he always does that or routinely does that, but she actually doesn't like coffee.
212.8	13.0	And then she pours the coffee out, it accidentally hits this guy who's doing the windows, and it looks like he falls a long way from the fourth floor, but doesn't really discover what happens to him.
225.8	13.0	And then he goes up to the eighth floor to meet his boss, where this guy Patrick Campbell had just been meeting with the boss, and he sees that he's going to get his promotion, 
238.8	16.0	but it turns out he does not, the boss has given it to someone else and that someone else happened to be Patrick Campbell who was now going down to the fourth floor to meet Keith's love interest.
253.8	17.0	And they are actually in love and they are kissing and Keith comes down the elevator all dejected to the 4th floor and then sees them kissing, then just gets, sort of watches it, she kicks her leg up, .
270.8	18.0	and it says that the elevator was open for an inordinately long time, and then it kinda closes, oh no so it doesn't close, and then Patrick Campbell asks him to hold the elevator and then blows her a kiss as he's coming in
288.8	17.0	"They go up a few floors and then as Patrick is leaving the elevator, she says to him, or uh Keith says to Patrick three words which are probably ""go fuck yourself"" and then he turns around and they get into a fight "
305.8	15.0	and then Patrick Campbell punches him, and then Keith punches him and kills him, and then he realizes that there's, um, that he has to do something with the body, and he tries to not get caught.
320.8	9.0	It says in the movie he tries not to get caught because people don't like murderers; it's probably a fair enough statement.
329.8	12.0	But as he's going, as he's going, he decides to bring him down the steps because he realizes how easily it could for him to get caught in the elevator, although I don't really understand that logic.
341.8	15.0	And as he's taking him down the steps this woman from the 1st or 2nd floor is walking up the steps, and because she decided to take the steps because of some sort of exercise reason, 
356.8	20.0	and she runs into him, and faints, and falls down a few stairs and it looks like she might have died as well, and he drags Patrick beyond her and then he realizes that once he gets to, I think it's the sixth floor or something,
378.8	13.0	that he's going to take the ladder but then his love interest comes up and she sees Patrick's dead body being lugged almost onto the elevator, 
390.8	10.0	he almost runs in the elevator, sorry ladder, without seeing her, but she saw it and she fainted as well, but thankfully did not die, she did not fall down any stairs.
400.8	11.0	And then he starts to take him down the elevator and then, sorry, I keep saying elevator, I mean ladder, down the ladder, 
410.8	11.0	and then he sort of has this moment of epiphany that everyone wants the same thing: it's like promotion and a happy life, a good romantic life and all that stuff.
421.8	18.0	And then it shoots to like this guy who's cleaning a floor below, and it looks like he has hung himself, and the guy seems him, and that's the end of that clip.
439.8	5.0	"Then I'm going to go to the one, I think it was called ""Double Strawberry""?"
443.8	3.0	It was the last clip I saw.
445.8	19.0	Okay so this clip starts with this woman who has pulled over, and is trying to use the phone, and the phone's not working and so she comes over and sees this guy listening to his headphones and asks if she can use his phone.
463.8	11.0	And the lady's kind of wearing something bizarre, it's like-it's not like a kimono but there's something that-uh, like a weird sheet around her.
474.8	9.0	And the guy allows her to use the phone; she guarantees him that she's not going to steal the phone.
482.8	14.0	She tries to make a call to I think the police or someone, she's clearly in distress, and she is angered by what happens on the phone and throws down the phone and breaks it.
496.8	7.0	"And then guy is like ""hey um, you just broke my phone; can I like have 60 bucks or something."""
502.8	25.0	And she refuses because her, someone that she knows, apparently her partner, magician partner, drives under this nearby like over house, and so she walks towards him and the guy whose phone was broken follows her because he still wants money and she keeps ignoring him.
528.8	15.0	Then they approach the guy, the guy's car, and the guy asks who he is--No, first she asks where SHE is, some unknown girl, at least to this point, 
543.8	9.0	and then he sort of I think brushes that off and then asks who the guy is and needs to explain that his phone was blah blah blah blah blah.
552.8	7.0	And then at some point she aims a gun at the magician.
559.8	6.0	"And, oh, before that I think the magician asks like ""oh do you know who I am"" and he says no."
564.8	8.0	But then he realizes that he recognizes him as a guy who does a magic show and that the girl is a partner.
573.8	11.0	And then they're both aiming guns at each other, oh no, sorry, she's aiming a black gun at him, and he's sort of conjures up a gun, some sort of magic trick, as if he had one up his sleeve.
586.8	16.0	They're pointing at each other and then she kind of starts off towards the back of the car as the guy, as the magician guy starts like putting a spell on the guy whose phone was broken.
602.8	17.0	And there's this long sort of montage of like this strawberry being like spilled and the guy whose phone was broken keeps like getting further and further into being uh, into hallucinating.
618.8	6.0	Um, um, and then he falls over.
624.8	12.0	And then the woman finds, goes into the back of the car and opens it up and then gets very angry, and comes back and shoots the magician, 
635.8	19.0	and the magician as he's falling down shoots her and then we see the guy whose phone was broken eating or like licking up the rest of like a full tub of ice cream, presumably strawberry, or double strawberry 
653.8	16.0	and then we realize that he's been sort of turned into a dog, not physically, but he seems to be acting like a dog and he's like barking and like moving around on all fours.
669.8	13.0	And then he moves back towards the car and we realize that presumably the girl that they were looking for was probably in the trunk and then she is out, she is also a dog,
681.8	16.0	and they are barking at each other and sort of sniffing each other and then they are playing sort of, possibly doggy love of some sort, but uh, a little bit tough to tell.
698.8	4.0	Um, okay, I'm going to move on to another clip.
704.8	3.0	Let's see, there was another,
706.8	3.0	okay, so Catch Me if You Can.
709.8	10.0	Uh this clip starts with, there's some sort of game show, and then there are three contestants on the show, that are all being asked their name, and they all say the exact same name.
719.8	5.0	I think it's like Frank William Hardigan? Something like that.
725.8	19.0	And one of them, the middle one is Leo DiCaprio, and then there's a voiceover kind of explaining this guy's life, about how he has sort of just gone in and out being caught in various places---
744.8	13.0	or sorry he's just like a huge fraud, he's got like, made fraudulent behavior in like 30 different countries, 26 out of 50 countries or something, I don't know why I remember those numbers, probably wrong.
758.8	27.0	And then we go into uh, there's like a flashback or a flash-forward or like a flash somewhere to this clip in Germany where Tom Hanks is some sort of inspector, being asked to go interview him or just see what he's up to in some way
784.8	2.0	I didn't actually see this movie.
786.8	21.0	Um and so he's led into the prison and then he is shown the little flap where you can talk to Leo DiCaprio, and he opens it up but he realizes that Leo DiCaprio is not doing very well and then sort of collapses, 
806.8	10.0	and then he calls for a doctor, and then they get a group of people to carry him to a bed, a hospital bed.
815.8	8.0	But it turns out that the hospital bed, or the doctor is not in and won't be in until the next day.
823.8	10.0	And then we see a clip of Leo DiCaprio trying to escape through the prison, and then getting caught by the guards, 
832.8	11.0	and then there's like tons of different, tons of prisoners cheering, I don't know, making a lot of noise, cheering for his escape but he doesn't like make it.
843.8	5.0	Um, that's what I got for that one.
848.8	4.0	Um let's see, there's one called the Prisoner.
851.8	2.0	The one called The Boyfriend.
852.8	3.0	Uh, yeah, this is a cool clip.
856.8	7.0	So, there's a scene with a man and a woman and it seems to be some sort of romantic dinner.
863.8	8.0	And the woman is like asking him about his wine and tries to go pour him some wine, and the man refuses.
872.8	11.0	And she tries to get him to loosen up, she mentions that it's their anniversary, but he says that he's got like stuff the next day, something to get up for the next morning.
884.8	16.0	Oh but, and then she said that uh, she compliments the asparagus and she says that it's an aphrodisiac, or she says that people say that it's an aphrodisiac and I think he says, oh, what people?
900.8	8.0	And she says, I don't know, like people, like you know, they, like it's a thing people say.
907.8	7.0	And he is like generally very un, uncommunicative.
913.8	14.0	And at some point she says like oh I wanted a, you're a computer analyst, not a surgeon, or something.
926.8	6.0	And then she goes over to him, this is a little bit out of order, 
932.8	11.0	but she comes over to him and says like, I don't know, she says something else like, like um, oh, like, all I want is like some, 
946.8	7.0	yeah, if I'm lucky I'll get some mechanical sex or something later.
953.8	16.0	And he, and then she goes over to him to apologize and say she didn't mean that but then she, there's a switch behind his neck, that she flips, and actually it turns him off, so he seems to be some sort of robot.
969.8	18.0	And then the next thing we see is like he's still lying there with his head forward like lifeless and she is on the computer looking for a new robot to buy
986.8	24.0	and she makes a call to ask to say like that oh this series, her boyfriend is like not, is not doing it for her, and she is looking for a new one, so she upgrades and then they like acknowledge oh yeah like the 100 series can get like that or something.
1013.8	9.0	And so she asks for um, a new one that's a masseuse and a, what a lumberjack or something?
1022.8	14.0	And then she goes in, and as they're showing her the new guy, they actually bring in the old guy and they start wheeling him away and she goes in and gives him a final kiss before he leaves.
1036.8	6.0	And then she comes over and then flip the new guy on and then you know they go back.
1041.8	5.0	And then you see them at home, and they're having a very similar scene as the one, 
1045.8	5.0	oh yeah so she also takes the ring off the old guy and puts it on the new one.
1049.8	14.0	Um and they show the new scene of them talking and at first it starts the same, he refuses wine, 'cause he has to go somewhere later the next day, 
1063.8	10.0	but then he brings up the asparagus and how it's good and then he mentions that it's an aphrodisiac and she questions like who says that and he says, oh you know, they.
1073.8	14.0	And then the great, he comes over and starts massaging her, and it seems like oh yeah, this is like a much better boyfriend, and all of this is perfect, and stuff.
1086.8	8.0	And then the great ironic switch is that he actually flips her off, she apparently has one of these things too.
1093.8	8.0	So we didn't see that coming because we thought she was a human and looking for other robots, but apparently they're all robots.
1102.8	5.0	And then he switches her off and then goes and watches sports and lights a cigarette.
